phase,id,block,contentCorrections,preLen,postLen,charsRemoved,refusalLang,missingFact,citeCount,suspectCount
baseline,base-001,0,0,4466,4466,0,0,0,6,2
baseline,base-002,0,0,5165,5165,0,0,0,2,0
baseline,base-003,0,1,2962,3137,0,0,0,3,0
baseline,base-004,0,0,8619,8619,0,0,0,4,0
baseline,base-005,0,1,4425,3670,755,0,0,2,2
baseline,base-006,0,0,8999,8999,0,0,0,7,0
baseline,base-007,0,0,4460,4460,0,0,0,3,0
baseline,base-008,0,0,2638,2638,0,0,0,2,0
baseline,base-009,0,2,2764,3027,0,0,0,4,0
baseline,base-010,0,0,8520,8520,0,0,0,41,0
baseline,base-011,0,0,1748,1748,0,0,0,4,0
baseline,base-012,0,0,4336,4336,0,0,0,4,0
baseline,base-013,0,0,3972,3972,0,0,0,3,0
baseline,base-014,0,2,9215,8039,1176,0,0,13,11
baseline,base-015,0,1,12313,9786,2527,0,0,5,0
baseline,base-016,0,2,4066,3398,668,0,0,11,0
baseline,base-017,0,0,9527,9527,0,0,0,11,2
baseline,base-018,0,0,6753,6753,0,0,0,5,0
baseline,base-019,0,0,5589,5589,0,0,0,4,0
baseline,base-020,0,0,5484,5484,0,0,0,3,0
baseline,base-021,0,2,7107,6726,381,0,0,6,1
baseline,base-022,0,1,7625,7427,198,0,0,32,0
baseline,base-023,0,2,8046,7200,846,0,0,6,4
baseline,base-024,0,0,9436,9436,0,0,0,6,0
baseline,base-025,0,0,2297,2297,0,0,0,3,0
baseline,base-026,0,0,3854,3854,0,0,0,17,0
baseline,base-027,0,2,4412,3911,501,0,0,2,2
baseline,base-028,0,0,4756,4756,0,0,0,6,0
baseline,base-029,0,1,10757,9984,773,0,0,10,3
baseline,base-030,0,0,8073,8073,0,0,0,7,0
phase2,p2-001,0,0,11628,11628,0,0,0,5,0
phase2,p2-002,0,0,8862,8862,0,0,0,4,1
phase2,p2-003,0,0,12174,12174,0,0,0,7,0
phase2,p2-004,0,1,10034,8931,1103,0,0,3,0
phase2,p2-005,0,0,9077,9077,0,0,0,4,0
phase2,p2-006,0,0,9556,9556,0,0,0,4,0
phase2,p2-007,0,0,7438,7438,0,0,0,6,0
phase2,p2-008,0,1,8673,7100,1573,0,0,6,0
phase2,p2-009,0,0,9478,9478,0,0,0,4,0
phase2,p2-010,0,0,9736,9736,0,0,0,5,0
phase2,p2-011,0,0,13416,13416,0,0,0,7,0
phase2,p2-012,0,0,5808,5808,0,0,0,2,0
phase2,p2-013,0,0,5109,5109,0,0,0,5,0
phase2,p2-014,0,1,19512,17689,1823,0,0,4,0
phase2,p2-015,0,0,10449,10449,0,0,0,9,0
phase2,p2-016,0,0,3695,3695,0,0,0,4,0
phase2,p2-017,0,0,8646,8646,0,0,0,2,0
phase2,p2-018,0,0,5226,5226,0,0,0,2,0
phase2,p2-019,0,1,8186,7740,446,0,0,3,1
phase2,p2-020,0,2,15758,13858,1900,0,1,7,2
phase2,p2-021,0,1,6803,6392,411,0,0,3,1
phase2,p2-022,0,0,4845,4845,0,0,0,0,0
phase2,p2-023,0,2,10920,8970,1950,0,0,10,2
phase2,p2-024,0,3,14029,12796,1233,0,0,12,5
phase2,p2-025,0,1,8052,7545,507,0,0,6,2
phase2,p2-026,0,0,3038,3038,0,0,0,4,0
phase2,p2-027,0,1,8764,7927,837,0,0,13,5
phase2,p2-028,0,0,13679,13679,0,0,0,9,4
phase2,p2-029,0,1,10636,9098,1538,0,0,7,0
phase2,p2-030,0,0,8751,8751,0,0,0,8,0
phase2,p2-031,0,0,9767,9767,0,0,0,2,0
phase2,p2-032,0,1,10001,8596,1405,0,0,6,1
phase2,p2-033,0,1,11421,10047,1374,0,0,7,0
phase2,p2-034,0,1,11855,10481,1374,0,0,8,0
phase2,p2-035,0,0,8356,8356,0,0,0,1,0
phase2,p2-036,0,0,10336,10336,0,0,0,11,0
phase2,p2-037,0,2,8642,8246,396,0,0,13,7
phase2,p2-038,0,3,4718,4654,64,0,0,7,2
phase2,p2-039,0,0,6732,6732,0,0,0,8,0
phase2,p2-040,0,0,9157,9157,0,0,0,9,0
phase2,p2-041,0,0,1814,1814,0,0,0,1,0
phase2,p2-042,0,2,7635,6585,1050,0,0,7,2
phase2,p2-043,0,0,3340,3340,0,0,0,2,0
phase2,p2-044,0,0,4031,4031,0,0,0,4,0
phase2,p2-045,0,0,8044,8044,0,0,1,4,0
phase2,p2-046,0,1,6568,5925,643,0,0,1,1
phase2,p2-047,0,1,7380,6914,466,0,0,4,1
phase2,p2-048,0,0,7502,7502,0,0,0,5,0
phase2,p2-049,0,0,5800,5800,0,0,0,6,0
phase2,p2-050,0,1,5841,4983,858,0,0,3,1
phase2,p2-051,0,2,6754,5823,931,0,0,9,5
phase2,p2-052,0,0,6007,6007,0,0,0,7,1
phase2,p2-053,0,0,8223,8223,0,0,0,2,0
phase2,p2-054,0,0,2278,2278,0,0,0,4,0
phase2,p2-055,0,0,4851,4851,0,0,0,24,3
phase2,p2-056,0,1,8738,8723,15,0,0,43,0
phase2,p2-057,0,0,10113,10113,0,0,0,4,0
phase2,p2-058,0,0,8972,8972,0,0,1,27,0
phase2,p2-059,0,0,8342,8342,0,0,0,9,0
phase2,p2-060,0,0,9096,9096,0,0,0,16,0
phase2,p2-061,0,0,10365,10365,0,0,0,5,0
phase2,p2-062,0,0,10130,10130,0,0,0,35,0
phase2,p2-063,0,1,9997,9457,540,0,0,0,0
phase2,p2-064,0,0,11402,11402,0,0,0,23,0
phase2,p2-065,0,0,5870,5870,0,0,0,24,1
phase2,p2-066,0,0,4957,4957,0,0,0,4,0
phase2,p2-067,0,0,8431,8431,0,0,0,26,0
phase2,p2-068,0,0,6679,6679,0,0,0,18,0
phase2,p2-069,0,0,8052,8052,0,0,0,8,0
phase2,p2-070,0,0,6776,6776,0,0,0,21,0
phase2,p2-071,0,1,5269,3604,1665,0,0,2,1
phase2,p2-072,0,1,7189,5929,1260,0,0,4,1
phase2,p2-073,0,0,7405,7405,0,0,0,4,0
phase2,p2-074,0,0,7796,7796,0,0,0,0,0
phase2,p2-075,0,2,11097,10177,920,0,0,9,1
phase2,p2-076,0,1,2342,2493,0,0,0,3,2
phase2,p2-077,0,2,9016,7683,1333,0,0,6,4
phase2,p2-078,0,0,9845,9845,0,0,0,2,0
phase2,p2-079,0,1,12088,10691,1397,0,0,5,2
phase2,p2-080,0,0,6762,6762,0,0,0,8,0
phase2,p2-081,0,2,9368,8161,1207,0,0,4,2
phase2,p2-082,0,2,8844,7361,1483,0,0,3,2
phase2,p2-083,0,0,11224,11224,0,0,0,0,0
phase2,p2-084,0,2,7260,5957,1303,0,0,3,3
phase2,p2-085,0,0,5197,5197,0,0,0,4,0
phase2,p2-086,0,0,10782,10782,0,0,0,1,1
phase2,p2-087,0,0,5766,5766,0,0,0,8,0
phase2,p2-088,0,1,8571,7926,645,0,0,5,1
phase2,p2-089,0,0,4937,4937,0,0,0,3,0
phase2,p2-090,0,1,12781,12241,540,0,0,3,2
phase2,p2-091,0,2,13274,12531,743,0,0,9,4
phase2,p2-092,0,0,6615,6615,0,0,0,2,0
phase2,p2-093,0,0,6612,6612,0,0,0,2,1
phase2,p2-094,0,1,8022,7159,863,0,0,3,0
phase2,p2-095,0,2,11949,11400,549,0,0,11,7
phase2,p2-096,0,0,9100,9100,0,0,0,0,0
phase2,p2-097,0,0,3411,3411,0,0,0,0,0
phase2,p2-098,0,2,14794,12120,2674,0,0,10,2
phase2,p2-099,0,1,4859,4449,410,0,0,2,1
phase2,p2-100,0,3,12951,12176,775,0,0,6,4
phase2,p2-101,0,0,9726,9726,0,0,0,1,0
phase2,p2-102,0,1,4100,3335,765,0,0,6,1
phase2,p2-103,0,1,8836,7921,915,0,0,2,0
phase2,p2-104,0,0,11483,11483,0,0,0,29,0
phase2,p2-105,0,1,1650,1266,384,0,0,1,0
phase2,p2-106,0,1,9134,8076,1058,0,0,6,3
phase2,p2-107,0,0,9549,9549,0,0,0,11,1
phase2,p2-108,0,0,7452,7452,0,0,0,4,0
phase2,p2-109,0,0,7125,7125,0,0,0,0,0
phase2,p2-110,0,1,9853,9182,671,0,0,9,3
phase2,p2-111,0,2,10385,9623,762,0,0,6,4
phase2,p2-112,0,0,7114,7114,0,0,0,11,0
phase2,p2-113,0,0,16198,16198,0,0,0,13,0
phase2,p2-114,0,3,12394,10933,1461,0,0,5,0
phase2,p2-115,0,0,6513,6513,0,0,0,2,0
phase2,p2-116,0,0,5002,5002,0,0,0,9,0
phase2,p2-117,0,1,3824,2996,828,0,0,4,0
phase2,p2-118,0,0,4137,4137,0,0,0,14,0
phase2,p2-119,0,1,2123,1703,420,1,0,5,0
phase2,p2-120,0,1,6503,5652,851,0,0,8,0
phase3,p3-001,0,3,4128,3485,643,0,0,3,3
phase3,p3-002,0,2,13406,11786,1620,0,0,4,2
phase3,p3-003,0,2,4992,4345,647,0,0,13,4
phase3,p3-004,0,1,10289,9857,432,0,0,9,1
phase3,p3-005,0,2,2294,1579,715,0,0,3,2
phase3,p3-006,0,1,1376,973,403,0,0,1,1
phase3,p3-007,0,3,7273,6606,667,0,0,8,3
phase3,p3-008,0,1,1976,1575,401,1,0,9,1
phase3,p3-009,0,3,8238,6521,1717,0,0,10,2
phase3,p3-010,0,1,5465,4518,947,0,0,5,2
phase3,p3-011,0,2,7246,7219,27,0,0,5,4
phase3,p3-012,0,0,8595,8595,0,0,0,1,1
phase3,p3-013,0,3,5590,5636,0,0,0,5,3
phase3,p3-014,0,2,2226,1819,407,1,0,6,1
phase3,p3-015,0,2,6475,6076,399,0,0,3,1
phase3,p3-016,0,0,2652,2652,0,1,0,12,0
phase3,p3-017,0,3,3421,2767,654,0,0,3,3
phase3,p3-018,0,0,10048,10048,0,0,0,4,2
phase3,p3-019,0,1,2179,2142,37,0,0,6,4
phase3,p3-020,0,1,4834,4441,393,0,0,1,1
phase3,p3-021,0,0,1987,1987,0,1,0,7,2
phase3,p3-022,0,0,7910,7910,0,0,0,23,3
phase3,p3-023,0,2,1831,1159,672,1,0,1,1
phase3,p3-024,0,1,3541,3104,437,1,0,11,0
phase3,p3-025,0,1,2822,2044,778,0,0,0,0
phase3,p3-026,0,2,10310,9564,746,0,0,4,2
phase3,p3-027,0,1,8177,8165,12,0,0,41,0
phase3,p3-028,0,2,2593,1786,807,0,0,2,1
phase3,p3-029,0,1,2996,2496,500,0,0,4,2
phase3,p3-030,0,1,2179,1647,532,0,0,6,3
phase3,p3-031,0,4,15644,15599,45,0,0,13,8
phase3,p3-032,0,1,7167,6752,415,0,0,32,1
phase3,p3-033,0,0,1608,1608,0,0,0,0,0
phase3,p3-034,0,0,7421,7421,0,0,0,5,0
phase3,p3-035,0,0,3163,3163,0,0,0,5,1
phase3,p3-036,0,1,2768,1611,1157,0,0,3,1
phase3,p3-037,0,1,5395,4608,787,0,0,7,0
phase3,p3-038,0,0,1915,1915,0,0,0,3,0
phase3,p3-039,0,0,2788,2788,0,0,0,7,0
phase3,p3-040,0,0,2145,2145,0,0,0,3,1
phase3,p3-041,0,1,2582,2200,382,0,0,6,1
phase3,p3-042,0,0,3110,3110,0,0,0,2,0
phase3,p3-043,0,0,2397,2397,0,1,0,5,4
phase3,p3-044,0,0,4408,4408,0,0,0,5,0
phase3,p3-045,0,1,3869,3431,438,0,0,5,1
phase3,p3-046,0,2,8760,7999,761,0,0,7,3
phase3,p3-047,0,0,1969,1969,0,0,0,1,0
phase3,p3-048,0,0,3331,3331,0,0,0,4,0
phase3,p3-049,0,1,2420,1973,447,0,0,11,0
phase3,p3-050,0,0,4835,4835,0,0,0,30,0
phase3,p3-051,0,1,4757,4007,750,0,0,1,1
phase3,p3-052,0,1,2587,2093,494,0,0,3,1
phase3,p3-053,0,0,1404,1404,0,0,0,0,0
phase3,p3-054,0,1,9395,7927,1468,0,0,2,0
phase3,p3-055,0,1,5433,4098,1335,0,0,3,0
phase3,p3-056,0,1,6022,5564,458,0,0,2,1
phase3,p3-057,0,1,9207,8139,1068,0,0,9,2
phase3,p3-058,0,1,3813,3378,435,0,0,6,1
phase3,p3-059,0,0,2076,2076,0,0,0,8,0
phase3,p3-060,0,0,5283,5283,0,0,0,19,0
phase3,p3-061,0,0,7613,7613,0,0,0,3,2
phase3,p3-062,0,1,7611,7792,0,0,0,8,3
phase3,p3-063,0,1,4055,4055,0,0,0,7,0
phase3,p3-064,0,1,1640,1821,0,0,0,5,1
phase3,p3-065,0,1,4933,5114,0,0,0,16,3
phase3,p3-066,0,1,9528,9138,390,0,0,3,1
phase3,p3-067,0,1,4910,3415,1495,0,0,3,1
phase3,p3-068,0,1,11381,11562,0,0,0,8,2
phase3,p3-069,0,1,3372,1990,1382,0,0,4,0
phase3,p3-070,0,1,10061,10243,0,0,0,8,2
phase3,p3-071,0,0,3471,3471,0,0,0,7,2
phase3,p3-072,0,2,4816,3961,855,0,0,12,4
phase3,p3-073,0,0,7963,7963,0,0,0,8,0
phase3,p3-074,0,0,2749,2749,0,0,0,2,0
phase3,p3-075,0,0,12813,12813,0,0,0,62,24
phase3,p3-076,0,2,10332,10007,325,0,0,6,2
phase3,p3-077,0,0,4960,4960,0,0,0,0,0
phase3,p3-078,0,0,1070,1070,0,0,0,0,0
phase3,p3-079,0,0,13611,13611,0,0,0,2,0
phase3,p3-080,0,0,2500,2500,0,0,0,0,0
phase3,p3-081,0,0,3596,3596,0,0,0,1,0
phase3,p3-082,0,0,12500,12500,0,0,0,0,0
phase3,p3-083,0,0,1734,1734,0,1,0,0,0
phase3,p3-084,0,0,4103,4103,0,0,0,0,0
phase3,p3-085,0,0,1283,1283,0,1,0,0,0
phase3,p3-086,0,0,2983,2983,0,0,0,7,0
phase3,p3-087,0,0,6791,6791,0,0,0,33,0
phase3,p3-088,0,0,3452,3452,0,0,0,17,0
phase3,p3-089,0,0,7961,7961,0,0,0,3,1
phase3,p3-090,0,0,11644,11644,0,0,0,36,2
phase3,p3-091,0,2,8666,8114,552,0,0,42,1
phase3,p3-092,0,0,5917,5917,0,0,0,10,0
phase3,p3-093,0,2,8948,7666,1282,0,0,23,2
phase3,p3-094,0,0,6798,6798,0,0,0,1,1
phase3,p3-095,0,0,7386,7386,0,0,0,28,0
phase3,p3-096,0,4,9282,8743,539,0,0,9,4
phase3,p3-097,0,3,2839,2040,799,0,0,4,3
phase3,p3-098,0,0,1948,1948,0,0,0,2,1
phase3,p3-099,0,2,2604,2178,426,1,0,6,1
phase3,p3-100,0,0,10558,10558,0,0,0,4,1
phase4,p4-001,0,3,5733,5875,0,0,0,4,3
phase4,p4-002,0,2,6278,5502,776,0,0,14,10
phase4,p4-003,0,2,6227,5660,567,0,0,5,2
phase4,p4-004,0,3,1427,1240,187,0,0,0,0
phase4,p4-005,0,2,2793,2091,702,0,0,2,2
phase4,p4-006,0,0,4698,4698,0,0,0,1,1
phase4,p4-007,0,0,7954,7954,0,0,0,2,0
phase4,p4-008,0,1,7826,7434,392,0,0,2,2
phase4,p4-009,0,4,9927,9960,0,0,0,8,5
phase4,p4-010,0,1,6245,5047,1198,0,0,4,0
phase4,p4-011,0,2,5814,4490,1324,0,0,2,0
phase4,p4-012,0,3,1663,1476,187,1,0,0,0
phase4,p4-013,0,2,4702,4149,553,0,0,8,2
phase4,p4-014,0,2,13154,11768,1386,0,0,11,6
phase4,p4-015,0,1,8677,5856,2821,0,0,9,7
phase4,p4-016,0,2,6408,5964,444,0,0,3,2
phase4,p4-017,0,2,2025,1169,856,0,0,2,0
phase4,p4-018,0,1,6511,6304,207,0,0,2,2
phase4,p4-019,0,2,12394,11508,886,0,0,8,2
phase4,p4-020,0,1,10146,10242,0,0,0,13,7
phase4,p4-021,0,1,6209,5814,395,0,0,2,0
phase4,p4-022,0,1,4371,3646,725,0,0,1,1
phase4,p4-023,0,0,3598,3598,0,1,0,0,0
phase4,p4-024,0,0,4381,4381,0,0,0,3,0
phase4,p4-025,0,0,6488,6488,0,0,0,5,2
phase4,p4-026,0,2,5442,4995,447,0,0,4,3
phase4,p4-027,0,1,6389,6570,0,0,0,8,2
phase4,p4-028,0,0,1908,1908,0,0,0,7,0
phase4,p4-029,0,1,10887,10128,759,0,0,1,1
phase4,p4-030,0,3,7094,6126,968,0,0,6,2
phase4,p4-031,0,2,2830,2115,715,0,0,1,1
phase4,p4-032,0,2,9223,7129,2094,0,0,9,5
phase4,p4-033,0,0,5162,5162,0,0,0,1,0
phase4,p4-034,0,0,1709,1709,0,0,0,6,0
phase4,p4-035,0,0,1333,1333,0,1,0,1,0
phase4,p4-036,0,1,2546,2076,470,1,0,2,2
phase4,p4-037,0,0,1598,1598,0,0,0,0,0
phase4,p4-038,0,0,2015,2015,0,0,0,7,0
phase4,p4-039,0,0,1581,1581,0,0,0,2,0
phase4,p4-040,0,0,1559,1559,0,1,0,2,0
phase4,p4-041,0,0,1651,1651,0,1,0,1,0
phase4,p4-042,0,0,1612,1612,0,1,0,4,0
phase4,p4-043,0,0,4501,4501,0,0,0,29,0
phase4,p4-044,0,1,9814,9046,768,0,0,3,2
phase4,p4-045,0,0,10995,10995,0,0,0,9,1
phase4,p4-046,0,1,9388,9500,0,0,0,7,5
phase4,p4-047,0,0,2030,2030,0,1,0,2,0
phase4,p4-048,0,0,8324,8324,0,0,0,0,0
phase4,p4-049,0,1,2812,1727,1085,0,0,2,1
phase4,p4-050,0,1,4691,3828,863,0,0,2,0
phase5,p5-001,0,2,1743,1805,0,0,0,2,1
phase5,p5-002,0,2,9521,8959,562,0,0,11,2
phase5,p5-003,0,4,20864,20293,571,0,0,27,5
phase5,p5-004,0,3,3570,2603,967,0,0,2,1
phase5,p5-005,0,3,9809,9104,705,0,0,10,6
phase5,p5-006,0,3,2144,1820,324,0,0,1,1
phase5,p5-007,0,3,3441,3075,366,0,0,5,2
phase5,p5-008,0,2,5238,5078,160,0,0,5,2
phase5,p5-009,0,3,12572,12674,0,0,0,6,5
phase5,p5-010,0,2,6743,6380,363,0,0,4,3
phase5,p5-011,0,1,4636,3193,1443,0,0,8,3
phase5,p5-012,0,1,8282,7846,436,1,0,8,4
phase5,p5-013,0,2,5115,4712,403,0,0,2,2
phase5,p5-014,0,1,5221,3472,1749,0,0,4,0
phase5,p5-015,0,1,6705,6346,359,0,0,4,4
phase5,p5-016,0,0,2055,2055,0,0,0,4,3
phase5,p5-017,0,0,1969,1969,0,0,0,0,0
phase5,p5-018,0,1,9484,9151,333,0,0,8,5
phase5,p5-019,0,1,3895,3396,499,0,0,3,1
phase5,p5-020,0,1,4956,3939,1017,0,0,4,1
phase5,p5-021,0,1,10254,8586,1668,0,0,1,0
phase5,p5-022,0,1,4387,3214,1173,0,0,2,2
phase5,p5-023,0,1,4230,2835,1395,0,0,1,1
phase5,p5-024,0,2,10237,9960,277,0,0,4,3
phase5,p5-025,0,1,6355,5639,716,0,0,5,1
phase5,p5-026,0,0,9511,9511,0,0,0,8,0
phase5,p5-027,0,0,5092,5092,0,0,0,5,0
phase5,p5-028,0,0,9797,9797,0,0,0,3,0
phase5,p5-029,0,0,6332,6332,0,0,0,31,0
phase5,p5-030,0,0,3890,3890,0,0,0,15,0
phase5,p5-031,0,0,4531,4531,0,0,0,32,0
phase5,p5-032,0,0,3039,3039,0,0,0,0,0
phase5,p5-033,0,0,7787,7787,0,0,0,0,0
phase5,p5-034,0,0,11046,11046,0,0,0,0,0
phase5,p5-035,0,0,7082,7082,0,0,0,5,0
phase5,p5-036,0,2,9710,8876,834,0,0,4,2
phase5,p5-037,0,3,2525,2390,135,1,0,3,3
phase5,p5-038,0,3,3170,2859,311,1,0,8,4
phase5,p5-039,0,2,10539,9899,640,0,0,7,3
phase5,p5-040,0,2,4557,4253,304,0,0,1,1
phase5,p5-041,0,2,2856,2300,556,0,0,1,1
phase5,p5-042,0,2,12807,12305,502,0,0,6,2
phase5,p5-043,0,1,2860,2092,768,0,0,1,1
phase5,p5-044,0,2,10499,9505,994,0,1,14,2
phase5,p5-045,0,2,2788,2020,768,0,0,4,2
phase5,p5-046,0,4,3229,2560,669,0,0,4,2
phase5,p5-047,0,2,12217,11603,614,0,1,9,1
phase5,p5-048,0,0,2288,2288,0,0,0,13,0
phase5,p5-049,1,0,0,0,0,0,0,0,0
phase5,p5-050,0,2,11917,10574,1343,0,0,6,2
edge_cases_v1,ec-006,0,0,3938,3938,0,0,0,2,0
edge_cases_v1,ec-007,0,0,4199,4199,0,0,0,2,0
edge_cases_v1,ec-008,0,3,11587,10838,749,0,0,5,3
edge_cases_v1,ec-009,0,1,6204,5365,839,0,0,3,0
edge_cases_v1,ec-010,0,0,3468,3468,0,0,0,4,0
edge_cases_v1,ec-011,0,0,2722,2722,0,0,0,2,0
edge_cases_v1,ec-012,0,1,7187,7323,0,0,0,5,4
edge_cases_v1,ec-013,0,1,6505,5913,592,0,0,11,0
edge_cases_v1,ec-014,0,0,2170,2170,0,0,0,3,0
edge_cases_v1,ec-015,0,2,13434,9397,4037,0,0,5,1
edge_cases_v1,ec-016,0,0,2456,2456,0,0,0,3,0
edge_cases_v1,ec-017,0,0,2251,2251,0,0,0,3,0
edge_cases_v1,ec-018,0,1,1363,956,407,0,0,2,2
edge_cases_v1,ec-019,0,1,1846,1421,425,0,0,1,1
edge_cases_v1,ec-020,0,1,4069,3456,613,0,0,2,2
edge_cases_v2_regression,ecv2-001,0,1,5325,2312,3013,1,0,3,2
edge_cases_v2_regression,ecv2-002,0,0,2271,2271,0,1,0,4,0
edge_cases_v2_regression,ecv2-003,0,0,1552,1552,0,0,0,4,0
edge_cases_v2_regression,ecv2-004,0,1,1203,1373,0,1,0,3,2
edge_cases_v2_regression,ecv2-005,0,0,9165,9165,0,0,0,5,1
edge_cases_v2_regression,ecv2-006,0,1,11277,9919,1358,0,0,3,0
edge_cases_v2_regression,ecv2-007,0,0,4434,4434,0,0,0,8,1
edge_cases_v2_regression,ecv2-008,0,0,2315,2315,0,0,0,3,0
edge_cases_v2_regression,ecv2-009,0,2,4810,3874,936,0,0,4,2